fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
13149,GA,Heard,10993.57,,-0.34589072178067837,,,
02016,AK,Aleutians West,8125.52,,-1.8579264036129386,,,
02050,AK,Bethel,8116.22,,-1.862829362710946,,0.0,0.0
05123,AR,St. Francis,12112.43,,0.2439721617028188,,0.0,0.0
05037,AR,Cross,12197.57,,0.2888579614452214,,0.0,0.0
55141,WI,Wood,9763.39,,-0.9944414984674205,,0.0,1678.0
39037,OH,Darke,10927.95,,-0.38048557941629535,,,
39115,OH,Morgan,12541.71,,0.47028853606761406,,,
46017,SD,Buffalo,13460.7,,0.9547799749361944,,,
29079,MO,Grundy,13635.43,,1.0468976139894013,,0.0,0.0
48049,TX,Brown,12899.1,,0.6587045094049107,,0.0,571.0
38103,ND,Wells,9863.61,,-0.9416055241876029,,0.0,0.0
31069,NE,Garden,13024.55,,0.7248417372377084,,0.0,0.0
01109,AL,Pike,12331.93,,0.35969254041385285,,0.0,0.0
48191,TX,Hall,13500.54,,0.9757836190721744,,,
38083,ND,Sheridan,10159.24,,-0.7857494168603003,,,
38043,ND,Kidder,9653.46,,-1.0523965838054798,,,
51520,VA,Bristol,12303.96,,0.3449467591266193,,,
29215,MO,Texas,10242.35,,-0.7419338329210106,,0.0,91.0
51600,VA,Fairfax,11884.91,,0.12402363976963193,,0.0,16352.0
51640,VA,Galax,12194.13,,0.28704439377886143,,0.0,319.0
20013,KS,Brown,12051.04,,0.21160735965694039,,0.0,0.0
51678,VA,Lexington,12703.91,,0.555800360336087,,0.0,0.0
18073,IN,Jasper,11894.86,,0.12926927880459718,,0.0,0.0
17087,IL,Johnson,11177.97,,-0.24867505966534972,,,
17011,IL,Bureau,9926.9,,-0.9082390423260027,,0.0,0.0
19021,IA,Buena Vista,10164.17,,-0.7831503213384533,,0.0,0.0
20071,KS,Greeley,17433.33,,3.0491501256369475,,0.0,0.0
40037,OK,Creek,14857.88,,1.6913731354258634,,0.0,0.0
48269,TX,King,7539.5,,-2.166876090775764,,,
29169,MO,Pulaski,10154.52,,-0.7882378004025145,,0.0,0.0
08079,CO,Mineral,9454.05,,-1.1575255164650118,,,
01069,AL,Houston,13501.04,,0.9760472190236801,,0.0,0.0
19055,IA,Delaware,9832.81,,-0.957843281200359,,0.0,0.0
16065,ID,Madison,10354.35,,-0.6828874437837176,,0.0,11.0
17109,IL,McDonough,10328.98,,-0.6962625053231208,,,
20113,KS,McPherson,12186.82,,0.2831905624878473,,0.0,117.0
08121,CO,Washington,9417.89,,-1.1765890649579092,,,
19079,IA,Hamilton,11386.89,,-0.13853245592817776,,0.0,0.0
17121,IL,Marion,13093.41,,0.7611447225590836,,0.0,774.0
48311,TX,McMullen,14260.67,,1.3765240813483393,,,
17129,IL,Menard,11589.39,,-0.031774475568339976,,,
20127,KS,Morris,11490.85,,-0.08372475401109708,,0.0,0.0
20193,KS,Thomas,15792.2,,2.1839465488076106,,0.0,0.0
19101,IA,Jefferson,10231.33,,-0.7477435758521981,,0.0,0.0
13061,GA,Clay,14176.36,,1.3320758575254363,,,
17175,IL,Stark,10151.09,,-0.7900460960698442,,,
19157,IA,Poweshiek,10138.33,,-0.7967731668322717,,0.0,115.0
08125,CO,Yuma,10707.3,,-0.4968122380157935,,0.0,0.0
08085,CO,Montrose,8484.22,,-1.668819798402698,,0.0,0.0
39149,OH,Shelby,10743.91,,-0.4775114495665405,,0.0,152.0
48445,TX,Terry,14947.68,,1.7387156867163007,,0.0,0.0
48451,TX,Tom Green,12915.86,,0.6675403797793843,,0.0,3422.0
39161,OH,Van Wert,11450.21,,-0.10515015806948691,,0.0,68.0
13171,GA,Lamar,10477.28,,-0.6180787597065083,,,
39033,OH,Crawford,11566.94,,-0.04361011339094858,,0.0,0.0
39059,OH,Guernsey,10580.86,,-0.5634713937525725,,0.0,310.0
48483,TX,Wheeler,16829.48,,2.730800464203425,,0.0,0.0
48493,TX,Wilson,11330.24,,-0.16839833043378158,,0.0,34.0
48507,TX,Zavala,13472.84,,0.9611801817587542,,,
48011,TX,Armstrong,13424.83,,0.9358693144151699,,,
39055,OH,Geauga,10419.61,,-0.6484823781131841,,0.0,985.0
40043,OK,Dewey,14466.75,,1.4851694373609585,,0.0,0.0
48349,TX,Navarro,13580.91,,1.0181546752772117,,0.0,299.0
48297,TX,Live Oak,11167.43,,-0.2542317466430909,,,
38019,ND,Cavalier,11952.38,,0.1595938172258205,,0.0,0.0
18169,IN,Wabash,11699.43,,0.02623860175905086,,0.0,0.0
20085,KS,Jackson,12291.32,,0.33828295235255373,,0.0,0.0
02240,AK,Southeast Fairbanks,6465.44,,-2.733120418604344,,,
02158,AK,Kusilvak,7960.16,,-1.945104179574928,,,
19031,IA,Cedar,9775.47,,-0.9880729236390411,,,
19087,IA,Henry,10873.8,,-0.4090334541643713,,0.0,0.0
19015,IA,Boone,10117.95,,-0.8075175008556466,,0.0,0.0
18159,IN,Tipton,12524.72,,0.46133140971544806,,0.0,0.0
49043,UT,Summit,9733.34,,-1.010283855552917,,0.0,61.0
06057,CA,Nevada,8957.8,,-1.4191484683344908,,0.0,0.0
55115,WI,Shawano,9450.26,,-1.159523604097425,,0.0,0.0
20101,KS,Lane,15084.38,,1.8107839134579784,,0.0,0.0
27087,MN,Mahnomen,13036.31,,0.7310416080971243,,,
40051,OK,Grady,13617.62,,1.037508183716766,,0.0,237.0
05047,AR,Franklin,12549.63,,0.47446395929946555,,0.0,0.0
48379,TX,Rains,13122.67,,0.7765705917212016,,,
36023,NY,Cortland,10712.02,,-0.49432385447357835,,0.0,479.0
22095,LA,St. John the Baptist,11316.64,,-0.17556824911473878,,,
36093,NY,Schenectady,10688.14,,-0.5069133881574945,,0.0,1751.0
40005,OK,Atoka,14714.61,,1.6158412053214002,,0.0,0.0
48287,TX,Lee,12110.03,,0.24270688193559128,,,
48373,TX,Polk,11302.1,,-0.18323373570452614,,0.0,80.0
40127,OK,Pushmataha,14043.45,,1.262005718416172,,0.0,64.0
02290,AK,Yukon-Koyukuk,8652.54,,-1.5800815107277941,,,
01107,AL,Pickens,11706.63,,0.030034441060733406,,,
51155,VA,Pulaski,11096.81,,-0.2914626037937666,,0.0,245.0
28079,MS,Leake,15159.88,,1.85058750613535,,0.0,0.0
29025,MO,Caldwell,11203.22,,-0.23536326211430822,,,
51750,VA,Radford,12127.88,,0.2521174002043466,,,
